"Date","Time","Open","High","Low","Close","Vol","OI","Volume"
09/12/2018,15:00,6.00,6.93,5.35,6.60,66848996,0,0.00
09/13/2018,15:00,6.62,12.69,6.52,11.60,158346488,0,158346488.00
09/14/2018,15:00,12.66,13.80,9.22,9.90,172473559,0,172473559.00
09/17/2018,15:00,9.61,9.75,8.50,8.50,56323875,0,56323875.00
09/18/2018,15:00,8.73,9.10,7.67,7.68,41827593,0,41827593.00
09/19/2018,15:00,7.88,9.15,7.54,8.50,48306520,0,48306520.00
09/20/2018,15:00,9.15,9.47,8.42,8.78,40275036,0,40275036.00
09/21/2018,15:00,9.05,9.07,8.50,8.59,15118471,0,15118471.00
09/24/2018,15:00,8.32,8.39,7.85,7.87,16297902,0,16297902.00
09/25/2018,15:00,8.06,8.19,7.50,7.58,18909287,0,18909287.00
09/26/2018,15:00,7.61,7.76,7.50,7.50,11088293,0,11088293.00
09/27/2018,15:00,7.55,7.55,7.01,7.01,16815631,0,16815631.00
09/28/2018,15:00,6.97,7.28,6.68,6.98,21813582,0,21813582.00
10/01/2018,15:00,7.06,7.08,6.60,6.60,16429120,0,16429120.00
10/02/2018,15:00,6.60,6.60,5.87,5.93,19439988,0,19439988.00
10/03/2018,15:00,6.12,6.55,6.12,6.30,13251168,0,13251168.00
10/04/2018,15:00,6.19,6.25,6.00,6.25,11896599,0,11896599.00
10/05/2018,15:00,6.20,6.29,6.03,6.26,8378259,0,8378259.00
10/08/2018,15:00,6.07,6.18,5.95,6.04,11508763,0,11508763.00
10/09/2018,15:00,6.19,7.40,6.10,7.39,38464354,0,38464354.00
10/10/2018,15:00,8.10,8.35,7.39,7.75,74971137,0,74971137.00
10/11/2018,15:00,7.44,7.55,6.92,7.18,22730045,0,22730045.00
10/12/2018,15:00,7.46,7.75,7.28,7.46,14545424,0,14545424.00
10/15/2018,15:00,7.86,8.30,7.70,7.82,26781651,0,26781651.00
10/16/2018,15:00,8.06,8.20,7.83,8.04,17490452,0,17490452.00
