"Date","Time","Open","High","Low","Close","Vol","OI","Volume"
09/18/2015,15:00,195.71,197.56,194.96,195.45,223657456,0,0.00
09/21/2015,15:00,196.44,197.68,195.21,196.46,105726209,0,105726209.00
09/22/2015,15:00,193.88,194.46,192.56,193.91,153890876,0,153890876.00
09/23/2015,15:00,194.11,194.67,192.91,193.60,92790620,0,92790620.00
09/24/2015,15:00,192.15,193.45,190.56,192.90,159378840,0,159378840.00
09/25/2015,15:00,194.64,195.00,191.81,192.85,155054777,0,155054777.00
09/28/2015,15:00,191.78,191.91,187.64,188.01,178515871,0,178515871.00
09/29/2015,15:00,188.27,189.74,186.93,188.12,159045572,0,159045572.00
09/30/2015,15:00,190.37,191.83,189.44,191.63,163452044,0,163452044.00
10/01/2015,15:00,192.08,192.49,189.82,192.13,131078964,0,131078964.00
10/02/2015,15:00,189.77,195.03,189.12,195.00,211003342,0,211003342.00
10/05/2015,15:00,196.46,198.74,196.33,198.47,126320842,0,126320842.00
10/06/2015,15:00,198.31,198.98,197.00,197.79,110274530,0,110274530.00
10/07/2015,15:00,198.90,199.83,197.48,199.41,124307295,0,124307295.00
10/08/2015,15:00,198.95,201.55,198.59,201.21,153055231,0,153055231.00
10/09/2015,15:00,201.38,201.90,200.58,201.33,107069240,0,107069240.00
10/12/2015,15:00,201.42,201.76,200.91,201.52,56395585,0,56395585.00
10/13/2015,15:00,200.65,202.16,200.05,200.25,88038718,0,88038718.00
10/14/2015,15:00,200.18,200.87,198.94,199.29,99106161,0,99106161.00
10/15/2015,15:00,200.08,202.36,199.64,202.35,134142195,0,134142195.00
10/16/2015,15:00,202.83,203.29,201.92,203.27,114580052,0,114580052.00
10/19/2015,15:00,202.50,203.37,202.13,203.37,76523897,0,76523897.00
10/20/2015,15:00,202.85,203.84,202.55,203.09,78448484,0,78448484.00
10/21/2015,15:00,203.61,203.79,201.65,201.85,102038033,0,102038033.00
10/22/2015,15:00,202.98,205.51,201.85,205.26,174911723,0,174911723.00
10/23/2015,15:00,207.25,207.95,206.30,207.51,144442340,0,144442340.00
10/26/2015,15:00,207.30,207.37,206.56,207.00,69032965,0,69032965.00
10/27/2015,15:00,206.20,207.00,205.79,206.60,77905770,0,77905770.00
10/28/2015,15:00,207.00,208.98,206.21,208.95,135906725,0,135906725.00
10/29/2015,15:00,208.35,209.27,208.21,208.83,90525498,0,90525498.00
10/30/2015,15:00,209.06,209.44,207.74,207.93,131076942,0,131076942.00
11/02/2015,15:00,208.32,210.62,208.17,210.39,86270811,0,86270811.00
11/03/2015,15:00,209.97,211.66,209.70,211.00,95246052,0,95246052.00
11/04/2015,15:00,211.35,211.50,209.72,210.36,96224477,0,96224477.00
11/05/2015,15:00,210.43,210.98,209.09,210.15,78408744,0,78408744.00
11/06/2015,15:00,209.74,210.32,208.46,210.04,110471473,0,110471473.00
11/09/2015,15:00,209.31,209.49,206.95,208.08,131008660,0,131008660.00
11/10/2015,15:00,207.51,208.60,207.19,208.56,75874602,0,75874602.00
11/11/2015,15:00,208.88,208.94,207.66,207.74,67845971,0,67845971.00
11/12/2015,15:00,206.50,207.06,204.82,204.84,121315200,0,121315200.00
11/13/2015,15:00,204.35,204.67,202.44,202.54,153577050,0,153577050.00
11/16/2015,15:00,202.32,205.69,202.18,205.62,117645231,0,117645231.00
11/17/2015,15:00,205.99,207.04,204.88,205.47,121123744,0,121123744.00
11/18/2015,15:00,206.04,208.90,205.99,208.73,121342544,0,121342544.00
11/19/2015,15:00,208.59,209.05,208.20,208.55,88220465,0,88220465.00
11/20/2015,15:00,209.45,210.12,208.86,209.31,94011519,0,94011519.00
11/23/2015,15:00,209.38,209.98,208.52,209.07,64931172,0,64931172.00
11/24/2015,15:00,207.87,209.83,207.41,209.35,98874365,0,98874365.00
11/25/2015,15:00,209.50,209.74,209.01,209.32,51980062,0,51980062.00
11/27/2015,15:00,209.43,209.80,208.86,209.56,37317779,0,37317779.00
11/30/2015,15:00,209.75,209.89,208.56,208.69,112822700,0,112822700.00
12/01/2015,15:00,209.44,210.82,209.11,210.68,97858418,0,97858418.00
12/02/2015,15:00,210.62,211.00,208.23,208.53,108441259,0,108441259.00
12/03/2015,15:00,208.83,209.15,204.75,205.61,166224154,0,166224154.00
12/04/2015,15:00,206.08,209.97,205.93,209.62,192913879,0,192913879.00
12/07/2015,15:00,209.23,209.73,207.20,208.35,102027111,0,102027111.00
12/08/2015,15:00,206.49,208.29,205.78,206.95,103372367,0,103372367.00
12/09/2015,15:00,206.19,208.68,204.18,205.34,162401537,0,162401537.00
12/10/2015,15:00,205.42,207.43,205.14,205.87,116128884,0,116128884.00
12/11/2015,15:00,203.35,204.14,201.51,201.88,211173305,0,211173305.00
12/14/2015,15:00,202.07,203.05,199.95,202.90,182385177,0,182385177.00
12/15/2015,15:00,204.70,206.11,204.54,205.03,154069569,0,154069569.00
12/16/2015,15:00,206.37,208.39,204.80,208.03,197017008,0,197017008.00
12/17/2015,15:00,208.40,208.48,204.84,204.86,173092476,0,173092476.00
12/18/2015,15:00,202.77,202.93,199.83,200.02,251393535,0,251393535.00
